--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                            Time             CPU   Iterations
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                        5261 ns        19329 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                      5265 ns        19431 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                       117 ns          337 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                         4986 ns        18437 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                        2990 ns         2977 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                      2940 ns         2934 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                       139 ns          124 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                         2916 ns         2912 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                        3129 ns         6167 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                      3031 ns         5994 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                       201 ns          363 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                         2976 ns         5872 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                        2386 ns         8772 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                      2378 ns         8781 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                      47.1 ns         82.1 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                         2340 ns         8674 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                                                              17710 ns        17661 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                                                            17431 ns        17413 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                                                              764 ns          719 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                                                               17364 ns        17347 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                                                              10715 ns        21350 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                                                            10674 ns        21278 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                                                              164 ns          308 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                                                               10470 ns        20895 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                                                               8415 ns        31035 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                                                             8409 ns        31146 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                                                              114 ns          298 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                                                                8169 ns        30316 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                                                                                 17664 ns        17605 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                                                                               17668 ns        17586 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                                                                                 150 ns          125 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                                                                                  17471 ns        17454 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                                                                                 10251 ns        20186 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                                                                               10232 ns        20311 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                                                                                 101 ns          516 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                                                                                  10128 ns        18921 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                                                                                  8255 ns        30392 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                                                                                8309 ns        30418 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                                                                                 111 ns          395 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                                                                                   8052 ns        29709 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                                         13133 ns        13085 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                                       13111 ns        13067 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                                        45.2 ns         46.9 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                                          13098 ns        13043 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                                          6566 ns        13089 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                                        6547 ns        13052 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                                        54.5 ns          102 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                                           6538 ns        13040 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                                          4816 ns        17854 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                                        4843 ns        18013 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                                         109 ns          441 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                                           4626 ns        17018 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                            13947 ns        13900 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                          13942 ns        13896 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                           24.9 ns         25.2 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                             13911 ns        13867 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                             7056 ns        14067 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                           7049 ns        14060 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                           17.1 ns         29.2 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                              7036 ns        14029 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                             5244 ns        18318 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                           4931 ns        18343 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                            709 ns          548 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                              4667 ns        17454 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                             2988 ns         2978 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                           2947 ns         2938 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                            103 ns          101 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                              2934 ns         2926 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                             2988 ns         5943 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                           2987 ns         5954 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                           7.93 ns         39.0 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                              2972 ns         5848 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                             2307 ns         8507 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                           2301 ns         8479 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                           37.5 ns         79.2 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                              2252 ns         8388 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                                                                                          45394 ns        45215 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                                                                                        46356 ns        46200 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                                                                                         3045 ns         2989 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                                                                                           40685 ns        40633 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                                                                                          23736 ns        46451 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                                                                                        23715 ns        46890 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                                                                                          265 ns         1512 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                                                                                           23344 ns        43650 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                                                                                          20476 ns        74836 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                                                                                        20261 ns        74784 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                                                                                          733 ns          604 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                                                                                           19946 ns        74056 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                                                                                                             27400 ns        27317 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                                                                                                           27375 ns        27293 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                                                                                                            98.5 ns         96.3 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                                                                                                              27277 ns        27197 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                                                                                                             15748 ns        31389 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                                                                                                           15725 ns        31338 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                                                                                                            59.8 ns          114 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                                                                                                              15683 ns        31265 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                                                                                                             12501 ns        46208 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                                                                                                           12535 ns        46391 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                                                                                                             167 ns          668 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                                                                                                              12164 ns        45051 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                                                                     25343 ns        25259 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                                                                   25352 ns        25276 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                                                                     199 ns          173 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                                                                      25051 ns        25021 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                                                                     14330 ns        28281 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                                                                   14266 ns        28390 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                                                                     143 ns          715 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                                                                      14207 ns        26461 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                                                                     11106 ns        40692 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                                                                   11032 ns        40693 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                                                                     399 ns          695 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                                                                      10645 ns        39468 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                                                        29295 ns        29194 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                                                      29311 ns        29203 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                                                       98.0 ns         94.4 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                                                         29104 ns        29009 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                                                        14841 ns        29566 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                                                      14810 ns        29527 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                                                       84.4 ns          147 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                                                         14785 ns        29460 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                                                        11689 ns        42749 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                                                      11742 ns        43250 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                                                        373 ns          987 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                                                         11048 ns        40953 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                                                                                               25375 ns        25291 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                                                                                             24984 ns        24915 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                                                                                              1053 ns         1049 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                                                                                                24866 ns        24837 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                                                                                               15014 ns        29758 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                                                                                             14913 ns        29722 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                                                                                               304 ns          745 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                                                                                                14866 ns        28372 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                                                                                               10520 ns        38981 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                                                                                             10567 ns        39179 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                                                                                               256 ns          824 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                                                                                                 9938 ns        37106 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                                                                                                                  27374 ns        27279 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                                                                                                                27184 ns        27121 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                                                                                                                  536 ns          440 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                                                                                                                   26856 ns        26827 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                                                                                                                  16279 ns        32202 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                                                                                                                16247 ns        32193 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                                                                                                                  119 ns          272 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                                                                                                                   16147 ns        31700 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                                                                                                                  12085 ns        44600 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                                                                                                                12115 ns        44785 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                                                                                                                  167 ns          628 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                                                                                                                   11754 ns        43507 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                                                                          26342 ns        26267 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                                                                        26356 ns        26281 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                                                                          136 ns          134 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                                                                           26145 ns        26072 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                                                                          15501 ns        30557 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                                                                        15461 ns        30695 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                                                                          127 ns          643 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                                                                           15406 ns        29001 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                                                                          12830 ns        42007 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                                                                        12720 ns        42220 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                                                                         1182 ns         1062 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                                                                           11624 ns        39757 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                                                             25312 ns        25207 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                                                           25100 ns        25033 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                                                             516 ns          425 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                                                              24955 ns        24928 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                                                             14715 ns        29245 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                                                           14681 ns        29192 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                                                             146 ns          120 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                                                              14592 ns        29096 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                                                             10318 ns        38145 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                                                           10407 ns        38505 ns           10
