--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                            Time             CPU   Iterations
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                                                      80.1 ns         79.6 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                                                        19866 ns        19811 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                                                       12298 ns        24206 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                                                     12039 ns        23822 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                                                       843 ns         1485 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                                                        11452 ns        22710 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                                                        9348 ns        31933 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                                                      8908 ns        32033 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                                                       830 ns          388 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                                                         8600 ns        31347 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                                                        1554 ns         1535 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                                                      1498 ns         1471 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                                                       149 ns          138 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                                                         1407 ns         1406 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                                                         815 ns         1603 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                                                       813 ns         1605 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                                                      13.5 ns         38.5 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                                                          798 ns         1547 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                                                         707 ns         2597 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                                                       702 ns         2592 ns           10
